"country_profiles_og.country","Region","population","pop_dens","gdp","gdp_growth","gdp_xcap","eco_agri","eco_industry","eco_services","empl_agri","empl_industry","empl_services","pop_growth","urban_pop","educ_exp"
"Nepal","SouthernAsia",29305,204.4,20658,2.7,724.5,31.8,14.9,53.3,72.6,10.9,16.5,1.2,18.6,3.7
"Netherlands","WesternEurope",17036,505.2,750318,2,44332.1,1.8,20,78.2,2.2,15.9,81.9,0.3,90.5,5.5
"New Caledonia","Melanesia",276,15.1,8937,3.2,33965.7,1.4,26,72.6,3,26.9,70.1,1.4,70.2,4.829
"New Zealand","Oceania",4706,17.9,173417,3.1,38294.3,6.5,23,70.6,5.9,21.4,72.6,1.1,86.3,6.4
"Nicaragua","CentralAmerica",6218,51.7,12693,4.9,2086.9,18.8,26.8,54.4,24.1,14.5,61.4,1.2,58.8,4.75
"Niger","WesternAfrica",21477,17,7143,3.6,359,39.6,19.1,41.3,62.3,14.4,23.3,3.8,18.7,6.7
"Nigeria","WesternAfrica",190886,209.6,494583,2.7,2714.5,20.9,20.4,58.8,27.9,14.7,57.4,2.7,47.8,4.433
"Niue","Polynesia",2,6.2,93699.49,4.395,21023.434,5.547,25.15,69.178,9.179,21.654,69.17,-0.1,42.5,4.352
"Northern Mariana Islands","Micronesia",55,119.9,131963,3.205,17502.52,4.6,23.046,72.901,8.497,19.609,69.345,0.1,89.2,5.764
"Norway","NorthernEurope",5305,14.5,386578,1.6,74185.5,1.8,34.6,63.5,2.2,20.2,77.6,1.2,80.5,7.4
"Oman","WesternAsia",4636,15,69832,5.7,15550.8,1.5,51.1,47.3,5,39.6,55.4,6.5,77.6,5
"Pakistan","SouthernAsia",197016,255.6,266458,5.5,1410.4,25.5,19,55.5,42.1,19.8,38.1,2.1,38.8,2.6
"Palau","Micronesia",22,47.2,258,5.7,12122.5,3.8,8,88.2,9.855,16.882,73.484,0.8,87.1,6.225
"Panama","CentralAmerica",4099,55.1,52132,5.8,13268.1,2.8,27.1,70,14.5,19.6,65.9,1.7,66.6,3.2
"Papua New Guinea","Melanesia",8251,18.2,21315,6.6,2797.6,20.1,28.2,51.8,68.3,5.7,26,2.2,13,4.809
"Paraguay","SouthAmerica",6811,17.1,27714,3.1,4174.4,19,29.5,51.6,19.6,19.5,61,1.3,59.7,5
"Peru","SouthAmerica",32166,25.1,190428,3.3,6069.1,7.6,33.3,59.2,24.4,17.3,58.3,1.3,78.6,4
"Philippines","South-easternAsia",104918,351.9,292449,5.9,2904.2,10.5,31.3,58.2,27.7,16.3,56.1,1.6,44.4,4.456
"Poland","EasternEurope",38171,124.6,477066,3.9,12355.5,2.6,34.1,63.3,10.9,29.6,59.5,0.127,60.5,4.9
"Portugal","SouthernEurope",10330,112.8,199122,1.6,19239.2,2.3,22.3,75.4,8,23.8,68.2,-0.4,63.5,5.1
"Puerto Rico","Caribbean",3663,413,102906,2.802,27939,0.8,50,49.1,2,17.5,80.5,-0.2,93.6,6.4
"Qatar","WesternAsia",2639,227.3,164641,3.6,73653.4,0.2,56.4,43.5,1.2,54.1,44.7,6.6,99.2,3.6
"Republic of Korea","EasternAsia",50982,524.3,1377873,2.6,27396.7,2.3,38,59.7,5,24.7,70.3,0.4,82.5,5.1
"Republic of Moldova","EasternEurope",4051,123.3,6475,-0.7,1591.4,13.4,20.8,65.8,28.8,30.9,40.3,-0.1,45,7.5
"Romania","EasternEurope",19679,85.5,177956,3.7,9120.7,4.8,34.9,60.3,25.5,27.7,46.8,-0.6,54.6,3.1
"Russian Federation","EasternEurope",143990,8.8,1326016,-3.7,9243.3,4.7,31.8,63.5,6.8,27.1,66.1,0.1,74,3.9
"Rwanda","EasternAfrica",12208,494.9,8096,6.9,697.3,34.6,15.1,50.3,75,7.2,17.8,2.5,28.8,3.6
"Saint Helena","WesternAfrica",4,10.4,69833.65,3.966,10502.655,10.474,27.766,63.507,20.955,18.802,57.606,-0.7,39.4,4.662
"Saint Kitts and Nevis","Caribbean",55,212.9,876,3.8,15771.9,1.2,28.1,70.7,8.161,18.952,69.31,1.1,32,2.8
"Saint Lucia","Caribbean",179,293.2,1450,1.9,7839.4,2.7,12.9,84.4,14.8,17.6,67.6,0.5,18.5,4.9
"Saint Pierre and Miquelon","NorthernAmerica",6,27.5,1483699.42,3.346,42330.76,3.606,23.815,73.083,5.252,19.226,75.536,0.7,90.4,4.962
"Saint Vincent and the Grenadines","Caribbean",110,281.8,738,1.6,6739.2,7.5,17.2,75.3,22.1,16.1,61.8,0.677,50.6,4.591
"Samoa","Polynesia",196,69.4,774,2.8,4006,9.3,24.2,66.6,5.3,14.8,79.8,0.8,19.1,4.738
"San Marino","SouthernEurope",33,556.7,1565,1,49240.2,0.1,33.3,66.6,5.259,24.462,69.465,1.2,94.2,2.4
"Sao Tome and Principe","MiddleAfrica",204,212.8,334,4,1752.8,12.3,14.7,73,22.2,13.5,64.3,2.2,65.1,3.8
"Saudi Arabia","WesternAsia",32938,15.3,653219,3.4,20710.6,2.3,46,51.8,5.9,22.7,71.4,2.8,83.1,4.36
"Senegal","WesternAfrica",15851,82.3,13633,6.5,901.1,15.5,24.1,60.4,51.4,20.7,27.9,3,43.7,7.4
"Serbia","SouthernEurope",8791,100.5,37160,0.8,5238.6,8.2,31.4,60.5,19.4,24.5,56.1,-0.4,55.6,4.2
"Seychelles","EasternAfrica",95,206,1363,6.8,14133.2,2.7,13.6,83.8,3.6,17.9,78.2,0.5,53.9,3.6
"Sierra Leone","WesternAfrica",7557,104.7,4483,-20.3,694.8,51.4,17.6,31.1,68,6.5,25.5,2.3,39.9,2.7
"Singapore","South-easternAsia",5709,8155.5,292734,2,52239,2.256,26.4,73.6,0.3,17,82.6,1.7,100,2.9
"Sint Maarten (Dutch part)","Caribbean",40,1180,1094,0.5,28241.7,0.1,12.3,87.6,2.762,16.448,81.23,3.1,100,4.249
"Slovakia","EasternEurope",5448,113.3,87268,3.8,16082.5,3.7,34.8,61.5,3.3,34.5,62.2,0.1,53.6,4.2
"Slovenia","SouthernEurope",2080,103.3,42777,2.3,20689.8,2.4,32.7,64.9,8.9,29.6,61.5,0.3,49.7,5.5
"Solomon Islands","Melanesia",611,21.8,1075,3.2,1841.6,28.2,15.6,56.3,48.1,2.4,49.5,2.1,22.3,5.077
"Somalia","EasternAfrica",14742,23.5,1559,2.7,144.5,60.2,7.4,32.5,72,4.8,23.2,2.9,39.6,3.639
"South Africa","SouthernAfrica",56717,46.8,314571,1.3,5773,2.4,28.9,68.7,6.1,26.2,67.7,1.4,64.8,6
"South Sudan","EasternAfrica",12576,20.6,13167,2,1067,4.6,58,37.4,37.853,17.778,43.663,3.3,18.8,1.8
"Spain","SouthernEurope",46354,92.9,1192955,3.2,25865.4,2.6,23.6,73.7,3.9,19.2,76.8,-0.2,79.6,4.3
"Sri Lanka","SouthernAsia",20877,332.9,82316,4.8,3973.7,8.7,30.7,60.6,27.4,25.9,46.6,0.5,18.4,2.2
"State of Palestine","WesternAsia",4921,817.4,12677,3.5,2715.5,4.8,23.4,71.9,8.7,29.8,61.5,2.7,75.3,1.3
"Sudan","NorthernAfrica",40533,23,79546,4.9,1977,32.4,20.1,47.6,32.9,20.4,46.7,2.3,33.8,5.358
"Suriname","SouthAmerica",563,3.6,4879,-2.7,8985.3,11.4,27.4,61.1,3.4,22.3,74.3,1,66,4.933
"Swaziland","SouthernAfrica",1367,79.5,4133,1.7,3211.7,6.6,42.1,51.3,22,17,61,1.8,21.3,7
"Sweden","NorthernEurope",9911,24.2,495694,4.1,50687.5,1.3,26.3,72.4,1.8,18.2,79.9,0.8,85.8,7.7
"Switzerland","WesternEurope",8476,214.5,670790,0.8,80831.1,0.7,25.5,73.8,3.5,20.4,76.1,1.2,73.9,5.1
"Syrian Arab Republic","WesternAsia",18270,99.5,28393,-5.3,1534.5,20.7,30,49.3,18.5,39.2,42.3,-2.3,57.7,3.764
"Tajikistan","CentralAsia",8921,63.7,7853,4.2,925.9,25,28,47.1,57.2,13.4,29.4,2.2,26.8,5.2
"Thailand","South-easternAsia",69038,135.1,395168,2.8,5814.8,9.1,35.7,55.1,34,22.7,43.3,0.4,50.4,4.1
"The former Yugoslav Republic of Macedonia","SouthernEurope",2083,82.6,10052,3.8,4836.1,12,27.9,65.1,16.2,29.2,54.5,0.1,57.1,4.61
"Timor-Leste","South-easternAsia",1296,87.2,2873,4.3,2425.4,5.2,79.9,14.9,50.8,2,47.2,2.2,32.8,7.8
"Togo","WesternAfrica",7798,143.4,4086,5.5,559.4,45.7,19.7,34.6,62.5,8.7,28.7,2.6,40,5.2
"Tokelau","Polynesia",1,130,95946.91,4.734,17681.932,5.917,26.104,68.873,11.521,21.657,66.515,1.9,0,4.473
"Tonga","Polynesia",108,150,402,3.8,3784.5,22.4,21.5,56.1,33.3,28.2,38.5,0.4,23.7,5.189
"Trinidad and Tobago","Caribbean",1369,266.9,25927,0.2,19062.9,0.5,42.5,57,4.1,31.6,64.3,0.5,8.4,4.717
"Tunisia","NorthernAfrica",11532,74.2,41199,0.8,3660.9,10.3,27.8,62,11.7,29.4,58.9,1.2,66.8,6.3
"Turkey","WesternAsia",80745,104.9,717888,4,9125.8,8.6,26.4,65,19.6,27.5,52.9,1.6,73.4,4.8
"Turkmenistan","CentralAsia",5758,12.3,37597,6.5,6996.7,13.4,51,35.6,17.9,37.4,44.7,1.8,50,3.1
"Turks and Caicos Islands","Caribbean",35,37.3,863,4.1,25121.8,0.6,10.4,89,3.857,14.748,80.569,2,92.2,3.3
