"country_profiles_og.country","Region","population","pop_dens","gdp","gdp_growth","gdp_xcap","eco_agri","eco_industry","eco_services","empl_agri","empl_industry","empl_services","pop_growth","urban_pop","educ_exp"
"Ecuador","SouthAmerica",16625,66.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,1.6,63.7,5
"Egypt","NorthernAfrica",97553,98,315917,4.2,3452.3,11.2,36.3,52.5,25.4,25.3,49.3,2.2,43.1,5.024
"El Salvador","CentralAmerica",6378,307.8,25850,2.5,4219.4,10.8,25.8,63.3,18.6,20.2,61.2,0.5,66.7,3.5
"Equatorial Guinea","MiddleAfrica",1268,45.2,13812,-7.4,16344.1,1.2,73.1,25.7,18.8,18,63.2,4.2,39.9,4.083
"Eritrea","EasternAfrica",5069,50.2,4783,4.8,914.9,17.2,23.5,59.3,57,7.6,35.4,2,22.6,5.549
"Estonia","NorthernEurope",1310,30.9,22460,1.4,17112,3.4,27.4,69.2,3.8,29,67.3,-0.3,67.5,5.5
"Ethiopia","EasternAfrica",104957,105,59917,9.6,602.8,40.5,16,43.5,70.5,8.4,21.1,2.6,19.5,4.5
"Falkland Islands (Malvinas)","SouthAmerica",3,0.2,164176.11,2.25,20294.877,5.809,28.138,67.041,8.041,21.22,68.814,0.3,76.2,4.564
"Faroe Islands","NorthernEurope",49,35.3,178027.52,3.296,24126.63,3.209,25.122,70.396,6.303,22.811,70.169,0.2,42,5.398
"Fiji","Melanesia",906,49.6,4391,3.6,4921.9,11.3,18.1,70.7,21.3,2.9,75.8,0.7,53.7,3.9
"Finland","NorthernEurope",5523,18.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22,73.8,0.4,84.2,7.2
"France","WesternEurope",64980,118.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,0.4,79.5,5.5
"French Guiana","SouthAmerica",283,3.4,124174.01,1.123,8385.577,7.421,32.197,59.968,16.52,14.9,58.3,2.8,84.4,4.461
"French Polynesia","Polynesia",283,77.3,5135,1.6,18161,2.8,11.9,85.2,8.9,16.9,74.2,0.7,55.9,4.786
"Gabon","MiddleAfrica",2025,7.9,13735,3.9,7960.7,3.8,54.5,41.7,16.2,19.1,64.8,3.3,87.2,2.7
"Gambia","WesternAfrica",2101,207.6,942,4.7,473.2,21.1,14.9,64,30.4,14.4,55.2,3.1,59.6,2.8
"Georgia","WesternAsia",3912,56.3,13965,2.8,3491.4,9,24.1,66.9,44.7,11.2,44.1,-1.4,53.6,2
"Germany","WesternEurope",82114,235.6,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,0.2,75.3,5
"Ghana","WesternAfrica",28834,126.7,37156,3.9,1355.6,19,26.9,54.1,41.9,14.2,43.8,2.4,54,6.2
"Gibraltar","SouthernEurope",35,3457.1,380280.81,2.373,39373.479,1.267,23.29,75.537,3,21.624,73.12,0.6,100,3.979
"Greece","SouthernEurope",11160,86.6,194860,-0.2,17788,4.1,15.7,80.2,12.9,15,72.1,-0.4,78,4.931
"Greenland","NorthernAmerica",56,0.1,2078,0.3,36976.7,10,15.9,74.1,4.6,12.6,82.5,-0.1,86.4,4.594
"Grenada","Caribbean",108,317.1,954,6.2,8933.8,8.3,13.9,77.8,13.974,17.202,69.362,0.4,35.6,4.271
"Guadeloupe","Caribbean",450,266,166334.63,2.136,25115.768,2.018,20.92,75.005,3.3,13.5,65.5,0.565,98.4,5.09
"Guam","Micronesia",164,304.1,550810.53,2.729,23904.064,3.127,14.73,80.272,0.2,14,85.7,0.3,94.5,5.81
"Guatemala","CentralAmerica",16914,157.8,63794,4.1,3903.5,10.8,27.2,62,32,18.5,49.4,2.1,51.6,3
"Guinea-Bissau","WesternAfrica",1861,66.2,978,4.8,530,45,14.5,40.5,60.1,5.8,34.1,2.6,49.3,2.2
"Guinea","WesternAfrica",12717,51.8,8875,0.1,703.9,19.8,32.8,47.4,69.7,7.4,22.9,2.3,37.2,3.2
"Guyana","SouthAmerica",778,4,3282,3.1,4278.8,17.6,31.7,50.6,18.4,25.4,56.2,0.6,28.6,3.2
"Haiti","Caribbean",10981,398.4,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,1.4,58.6,4.735
"Holy See","SouthernEurope",1,1800,248676.05,4.651,38818.275,1.873,25.43,74.009,3.589,22.985,72.024,0.661,100,3.841
"Honduras","CentralAmerica",9265,82.8,20365,3.6,2521.9,13,25.1,61.9,29.4,21.6,49,1.8,54.7,5.9
"Hungary","EasternEurope",9722,107.4,121715,3.1,12350.6,4.1,31.9,64,4.3,29.8,65.9,-0.3,71.2,4.7
"Iceland","NorthernEurope",335,3.3,16780,4.2,50936,6.4,24,69.7,4,17.7,78.2,0.6,94.1,7.8
"India","SouthernAsia",1339180,450.4,2116239,7.6,1614.2,17,29.7,53.2,44.3,24.5,31.2,1.2,32.7,3.8
